Image,Book Number,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 16/C16-102v-103r-cropped.jpg,16,-0.6969294578814554,0.9458722542850702,-0.758095655805597,0.9545132359110746,-0.6484800370040885,0.9362792432718068,-0.7676190603175043,0.9544128047698508,-0.9072761165542876,0.9580414568884774
images/filigrees/Corale 16/C16-40v-41r-cropped.jpg,16,-0.5658933673901682,0.924235685790489,-0.5641369017593822,0.9203830215752998,-0.5895450331747082,0.9270506558278867,-0.5322859796796983,0.9132088735731139,-0.7883374981602328,0.9388864443623001
images/filigrees/Corale 16/C16-41v-42r-croppedU2.jpg,16,-0.34731096323833505,0.7247937708092728,-0.35563688052656595,0.7674426384225048,-0.3637039737285415,0.79647908648088,-0.3537321933907759,0.7533276575994283,-0.5084078587004661,0.8962052758323461
images/filigrees/Corale 16/C16-46v-cropped.jpg,16,-0.5244166636502618,0.9101330867066255,-0.507645428354587,0.9070657234725521,-0.5530410599789709,0.9202685011261518,-0.4848731815593241,0.8976427865535704,-0.767381696503635,0.9254185767491913
images/filigrees/Corale 16/C16-22v-Drawing-2-cropped.jpg,16,-0.8249864382712265,0.9552664275905609,-0.9067734580967255,0.9532022330889176,-0.8694871198639478,0.9529975200538625,-0.8635935087893551,0.9461883622892556,-1.1325408220106563,0.9308130483493191
images/filigrees/Corale 16/C16-2v-3r-croppedN.jpg,16,-0.417409649967181,0.8481532773673468,-0.4659630568584148,0.8634212719352161,-0.4477558212541041,0.8576343269281809,-0.43209700221713904,0.8516514513589155,-0.6240954052959277,0.9363114392027342
images/filigrees/Corale 16/C16-74v-75r-St John liturgy-cropped.jpg,16,-0.45678122046293873,0.8775927423453057,-0.5000788112296594,0.8853978467480629,-0.46704423303324866,0.8841187072363916,-0.4662823183280429,0.8897206824598943,-0.6844204758859647,0.941549299995127
images/filigrees/Corale 16/C16-41v-42r-croppedU.jpg,16,-0.4498188098361572,0.8452004232608958,-0.4545917855508542,0.8552056238540381,-0.46376027616296417,0.8673382772586403,-0.4546196513274648,0.8583384893378743,-0.626304836404746,0.9284987649562181
images/filigrees/Corale 11/C11-145r-cropped.jpg,11,-0.6783009370755461,0.9354043386578597,-0.6644404267703733,0.9260800328801164,-0.601842170282147,0.9210712836958925,-0.6623944896218719,0.9234455260094722,-0.8041856261532602,0.9316078715081705
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedS.jpg,11,-0.3385337044893874,0.8164183889818897,-0.3471707093473286,0.8241777698269713,-0.37896694432706596,0.8439166878440574,-0.32613482412705164,0.7984369495510398,-0.5000116150979317,0.9012746618157434
images/filigrees/Corale 11/C11-22v-H-2-cropped.jpg,11,-0.6798893165279712,0.9331746876146002,-0.6935778217505978,0.9376925053530699,-0.715328419879475,0.9445430746475192,-0.670045709612104,0.9372945800483645,-0.9026410412636084,0.9620702085318517
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedE.jpg,11,-0.4254091657535697,0.8284427820224467,-0.38487494085027113,0.8398534790373372,-0.47137687145586954,0.827414779145722,-0.4059825927427487,0.8377345980972487,-0.6056565145862077,0.9293214417211652
images/filigrees/Corale 11/C11-28v-greens-2-cropped.jpg,11,-1.0943704143882365,0.9626890595560937,-1.0739755935242041,0.9545776103136944,-1.0519339509816188,0.966284932181997,-1.0583340587551429,0.9556218523434927,-1.3209915824105753,0.9372153095512262
images/filigrees/Corale 11/C11-30v-31r-flowers C-cropped.jpg,11,-0.6617034219672215,0.9351916488185572,-0.6721579256797284,0.9289004515503468,-0.6662452886557264,0.9362503467464244,-0.677445076669042,0.9345569125654336,-0.815631722551116,0.9482502426189929
images/filigrees/Corale 11/C11-89r-croppedE.jpg,11,-0.5400323267734228,0.9131118480006972,-0.505765597170467,0.9028152888775063,-0.5108786838411006,0.907853346316432,-0.5569663019900318,0.9171858521378129,-0.7375624088671356,0.9203570860780043
images/filigrees/Corale 11/C11-14r-I-cropped.jpg,11,-0.6428211174156615,0.9351101472211582,-0.6248140448746805,0.9366377821683882,-0.7454313013242344,0.9407685386055447,-0.7046187486502177,0.936548963324654,-0.884561972690186,0.928404320991499
images/filigrees/Corale 11/C11-28v_greens-croppedC.jpg,11,-0.537478562342632,0.8811466065602842,-0.5302699309519271,0.8877880272711316,-0.5495428830335538,0.8871456072091054,-0.49280224312137705,0.8880370118275231,-0.7158312978273225,0.9499291244437548
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedS2.jpg,11,-0.3930148062081064,0.8520092149285163,-0.333402628675294,0.81191064296203,-0.36664715484044696,0.8420372798373883,-0.3616005166324684,0.8330671741373404,-0.5576923607914617,0.9095163922845957
images/filigrees/Corale 11/C11-163v-O filigree-cropped.jpg,11,-0.8868096126843124,0.9478715006422065,-0.9082700735924121,0.9309640584738176,-0.9007170098898652,0.9413626130965602,-0.9084264647145841,0.9216127664914813,-1.111118998305122,0.8723738462540321
images/filigrees/Corale 11/C11-123v-cropped.jpg,11,-0.554712849971676,0.915947275651461,-0.506194019149377,0.9052746920543828,-0.5519447943874686,0.9113674779348774,-0.5158348741835765,0.9068625410094506,-0.6877436745580273,0.9348932386793773
images/filigrees/Corale 11/C11-54v-Modified O-Mod-cropped.jpg,11,-0.6457867594906537,0.9384734159814813,-0.6606850631430572,0.9367697515476813,-0.6415734079481906,0.936851521764005,-0.6381603411357171,0.9312938792906176,-0.8859487401280606,0.9490542510651513
images/filigrees/Corale 11/C11-150v-cropped.jpg,11,-0.44987136518936893,0.879928330741342,-0.4295210155662798,0.8755901969334893,-0.4429144350537889,0.8776867649923334,-0.44830552556560205,0.8811344070556847,-0.6399331887587744,0.9173640868565658
